#Procedure: <probe_station.measurements.cv_sweep.CmuCvSweepProcedure>
#Parameters:
#	Averages per point: 1
#	First voltage: -3.2 V
#	Second voltage: 3.2 V
#Metadata:
#	End time: 2026-07-13 18:44:56.190250
#	Start time: 2026-07-13 18:44:56.170466
#Data:
Voltage,Capacitance,Resistance
-3.19848,6.31382e-11,3799910.0
-3.13348,6.30099e-11,4518280.0
-3.0698,6.29661e-11,5280860.0
-3.00504,6.29908e-11,6154630.0
-2.93927,6.30485e-11,7108220.0
-2.87533,6.31283e-11,8082270.0
-2.81053,6.32366e-11,9128560.0
-2.74554,6.33649e-11,10169300.0
-2.68048,6.34975e-11,11290700.0
-2.6155,6.36473e-11,12261000.0
-2.55184,6.38083e-11,13293800.0
-2.48703,6.39802e-11,14188500.0
-2.42115,6.41509e-11,15070700.0
-2.35721,6.43492e-11,15833500.0
-2.2926,6.45438e-11,16053400.0
-2.22772,6.47351e-11,16676700.0
-2.16299,6.49522e-11,17340500.0
-2.0982,6.5168e-11,17433500.0
-2.03358,6.53874e-11,17743800.0
-1.96958,6.56281e-11,17915700.0
-1.90389,6.58662e-11,17856000.0
-1.83909,6.61211e-11,17962300.0
-1.7754,6.63709e-11,17816200.0
-1.70965,6.66455e-11,17704200.0
-1.6447,6.69218e-11,17664300.0
-1.58076,6.72028e-11,17418600.0
-1.51609,6.74949e-11,17149400.0
-1.45125,6.78004e-11,17036300.0
-1.38654,6.81253e-11,16830000.0
-1.32158,6.8462e-11,16622100.0
-1.25784,6.87854e-11,16358400.0
-1.19195,6.91515e-11,16143300.0
-1.1272,6.95276e-11,15889900.0
-1.06331,6.98732e-11,15970700.0
-0.99864,7.02686e-11,15546300.0
-0.93276,7.06868e-11,15113100.0
-0.86901,7.10972e-11,14741800.0
-0.80432,7.15254e-11,14486200.0
-0.73958,7.19701e-11,14235500.0
-0.67462,7.24206e-11,13824500.0
-0.61002,7.28787e-11,13595500.0
-0.54512,7.33433e-11,13297200.0
-0.48034,7.38259e-11,13013300.0
-0.4155,7.43052e-11,12771400.0
-0.35152,7.47759e-11,12486700.0
-0.28668,7.52643e-11,12146900.0
-0.22088,7.57492e-11,11961300.0
-0.15684,7.61954e-11,11772900.0
-0.0921,7.6653e-11,11663200.0
-0.02716,7.70717e-11,11431600.0
0.03662,7.74851e-11,11286700.0
0.1012,7.79276e-11,11215700.0
0.1658,7.84231e-11,11027000.0
0.22971,7.89401e-11,10896900.0
0.29551,7.95691e-11,10478300.0
0.36033,8.02063e-11,10163700.0
0.42404,8.08496e-11,9861530.0
0.4888,8.15381e-11,9548260.0
0.55361,8.21846e-11,9233810.0
0.61832,8.28136e-11,8925660.0
0.68304,8.33873e-11,8724510.0
0.74797,8.38841e-11,8569750.0
0.81267,8.42711e-11,8417380.0
0.87756,8.45351e-11,8268910.0
0.94144,8.46337e-11,8280130.0
1.00729,8.45652e-11,8267200.0
1.07208,8.42369e-11,8315210.0
1.1359,8.36546e-11,8463740.0
1.20068,8.27876e-11,8767310.0
1.26658,8.16772e-11,9113960.0
1.33024,8.03387e-11,9498820.0
1.39516,7.88748e-11,10061800.0
1.45966,7.74068e-11,10582500.0
1.5246,7.60503e-11,11179900.0
1.58931,7.48473e-11,11703100.0
1.6531,7.38615e-11,12076800.0
1.7178,7.30361e-11,12377600.0
1.78372,7.23134e-11,12610600.0
1.84754,7.16887e-11,12594400.0
1.91242,7.11216e-11,12662700.0
1.97869,7.05533e-11,12630300.0
2.04242,7.00198e-11,12471000.0
2.1072,6.95034e-11,12265700.0
2.17186,6.89972e-11,11888100.0
2.23684,6.85403e-11,11589800.0
2.30148,6.80995e-11,11121400.0
2.36651,6.76994e-11,10525800.0
2.43015,6.73421e-11,9932030.0
2.49596,6.70023e-11,9200120.0
2.56068,6.66884e-11,8503410.0
2.62432,6.6391e-11,7777270.0
2.68912,6.61067e-11,7024650.0
2.75399,6.58232e-11,6315850.0
2.81864,6.55466e-11,5628060.0
2.88376,6.52834e-11,4986350.0
2.94765,6.50278e-11,4407260.0
3.0134,6.47983e-11,3861370.0
3.07824,6.45802e-11,3374010.0
3.14215,6.43796e-11,2953050.0
3.20688,6.41941e-11,2571750.0
3.2068,6.39931e-11,2632720.0
3.14192,6.38315e-11,3123780.0
3.07804,6.37775e-11,3673440.0
3.0132,6.37662e-11,4278620.0
2.9475,6.38143e-11,4969180.0
2.88367,6.38766e-11,5653900.0
2.81892,6.39766e-11,6453950.0
2.75387,6.40879e-11,7254410.0
2.6891,6.42248e-11,8092740.0
2.62432,6.43655e-11,8955070.0
2.56072,6.45275e-11,9753830.0
2.49604,6.46913e-11,10538000.0
2.43022,6.48666e-11,11332300.0
2.36656,6.50536e-11,11930400.0
2.30149,6.52503e-11,12556300.0
2.23687,6.546e-11,12927600.0
2.17217,6.56896e-11,13535200.0
2.10704,6.59035e-11,13745500.0
2.04226,6.6143e-11,14124700.0
1.97848,6.63788e-11,14195100.0
1.91237,6.66306e-11,14359200.0
1.84756,6.68884e-11,14391500.0
1.78377,6.71534e-11,14450200.0
1.71784,6.74402e-11,14396200.0
1.65317,6.77339e-11,14323100.0
1.58943,6.80232e-11,14336900.0
1.52476,6.83269e-11,14076900.0
1.45998,6.8652e-11,14018000.0
1.39516,6.89854e-11,13806300.0
1.33019,6.93295e-11,13683700.0
1.26664,6.96872e-11,13436300.0
1.20076,7.00848e-11,13242200.0
1.13592,7.04482e-11,12993900.0
1.07205,7.08405e-11,12901300.0
1.00719,7.12588e-11,12659900.0
0.9412,7.16986e-11,12430200.0
0.87756,7.21325e-11,12271800.0
0.81253,7.25934e-11,12052100.0
0.74779,7.3078e-11,11820300.0
0.683,7.35825e-11,11592900.0
0.61828,7.40864e-11,11362800.0
0.55356,7.46193e-11,11130300.0
0.48893,7.51743e-11,10871300.0
0.42414,7.57333e-11,10676700.0
0.36033,7.63039e-11,10412000.0
0.2954,7.69077e-11,10181000.0
0.2297,7.75292e-11,9955530.0
0.16588,7.81217e-11,9700200.0
0.10098,7.87403e-11,9608550.0
0.03641,7.93795e-11,9325090.0
-0.0273,7.99753e-11,9150500.0
-0.09208,8.05848e-11,8928790.0
-0.15717,8.11718e-11,8777360.0
-0.221,8.17089e-11,8662930.0
-0.28671,8.22444e-11,8531100.0
-0.35169,8.26995e-11,8423890.0
-0.41538,8.3056e-11,8382530.0
-0.48024,8.33418e-11,8344430.0
-0.5451,8.35117e-11,8375680.0
-0.60984,8.35503e-11,8434460.0
-0.67456,8.34445e-11,8575830.0
-0.73946,8.31761e-11,8754920.0
-0.80412,8.2723e-11,9026990.0
-0.869,8.20803e-11,9370840.0
-0.93283,8.12397e-11,9704610.0
-0.99865,8.01778e-11,10353500.0
-1.06349,7.89761e-11,10920600.0
-1.12741,7.76767e-11,11602200.0
-1.19208,7.63759e-11,12313500.0
-1.25817,7.51298e-11,13199500.0
-1.32185,7.40175e-11,13921200.0
-1.38667,7.30263e-11,14602000.0
-1.4516,7.21607e-11,15217700.0
-1.51624,7.13976e-11,15632600.0
-1.58103,7.0743e-11,15959600.0
-1.64472,7.01605e-11,16336400.0
-1.70928,6.96451e-11,16636800.0
-1.77528,6.91657e-11,16781800.0
-1.8391,6.87294e-11,16797400.0
-1.90388,6.83123e-11,16812800.0
-1.96968,6.79199e-11,16993300.0
-2.03336,6.75642e-11,16650400.0
-2.0983,6.72076e-11,16599300.0
-2.16304,6.68686e-11,16291400.0
-2.2279,6.65405e-11,15846500.0
-2.29281,6.62316e-11,15281700.0
-2.35776,6.59204e-11,14759100.0
-2.42161,6.563e-11,14037300.0
-2.4873,6.53371e-11,13228800.0
-2.55207,6.50751e-11,12293500.0
-2.61593,6.48089e-11,11376400.0
-2.68052,6.45578e-11,10432400.0
-2.74576,6.4318e-11,9353590.0
-2.81038,6.40735e-11,8408120.0
-2.87525,6.38558e-11,7484240.0
-2.9389,6.36438e-11,6593480.0
-3.00508,6.34362e-11,5758640.0
-3.0698,6.32518e-11,5014940.0
-3.13353,6.30767e-11,4372940.0
-3.19817,6.29133e-11,3780660.0
